id,type,view_count,download_csv,download_parquet,download_png,download_svg
commodities_fuelprice,data-catalogue,5962,714,121,57,36
cpi_cpi_core,data-catalogue,13306,1857,214,187,64
cpi_cpi_headline,data-catalogue,6648,875,104,168,38
cpi_cpi_state,data-catalogue,4769,367,29,46,13
demography_births,data-catalogue,18246,1096,176,359,60
dictionaries_mcoicop,data-catalogue,731,78,29,0,0
dictionaries_msic,data-catalogue,554,64,8,0,0
econindicators_economic_indicators,data-catalogue,1007,100,21,8,1
finsector_currency_in_circulation,data-catalogue,3854,63,12,5,7
finsector_exchangerates,data-catalogue,7001,398,41,76,27
finsector_interestrates,data-catalogue,8253,334,53,96,21
hies_hies_district,data-catalogue,2555,491,52,0,0
hies_hies_state,data-catalogue,3575,649,105,0,0
iowrt_iowrt,data-catalogue,2434,279,28,25,10
ipi_ipi,data-catalogue,4499,529,63,69,32
labour_labourforce_annual,data-catalogue,4317,678,67,74,26
labour_labourforce_monthly,data-catalogue,9227,999,198,183,69
labour_labourforce_quarterly,data-catalogue,2464,232,24,17,7
population_population_district,data-catalogue,2659,582,115,0,0
population_population_malaysia,data-catalogue,3982,778,106,0,0
population_population_state,data-catalogue,3212,653,141,0,0
ppi_ppi,data-catalogue,2914,473,51,55,23
pricecatcher_lookup_item,data-catalogue,1882,259,18,0,0
pricecatcher_lookup_premise,data-catalogue,977,124,12,0,0
pricecatcher_pricecatcher_2022-01,data-catalogue,875,93,8,0,0
pricecatcher_pricecatcher_2022-02,data-catalogue,81,22,1,0,0
pricecatcher_pricecatcher_2022-03,data-catalogue,84,19,3,0,0
pricecatcher_pricecatcher_2022-04,data-catalogue,41,16,1,0,0
pricecatcher_pricecatcher_2022-05,data-catalogue,53,15,2,0,0
pricecatcher_pricecatcher_2022-06,data-catalogue,72,20,1,0,0
pricecatcher_pricecatcher_2022-07,data-catalogue,124,19,1,0,0
pricecatcher_pricecatcher_2022-08,data-catalogue,75,17,1,0,0
pricecatcher_pricecatcher_2022-09,data-catalogue,58,23,1,0,0
pricecatcher_pricecatcher_2022-10,data-catalogue,62,24,2,0,0
pricecatcher_pricecatcher_2022-11,data-catalogue,58,22,1,0,0
pricecatcher_pricecatcher_2022-12,data-catalogue,65,24,1,0,0
pricecatcher_pricecatcher_2023-01,data-catalogue,96,35,2,0,0
pricecatcher_pricecatcher_2023-02,data-catalogue,110,37,8,0,0
pricecatcher_pricecatcher_2023-03,data-catalogue,90,27,6,0,0
pricecatcher_pricecatcher_2023-04,data-catalogue,53,25,1,0,0
pricecatcher_pricecatcher_2023-05,data-catalogue,54,30,1,0,0
pricecatcher_pricecatcher_2023-06,data-catalogue,21,2,0,0,0
pricecatcher_pricecatcher_2023-07,data-catalogue,121,47,3,0,0
pricecatcher_pricecatcher_2023-08,data-catalogue,277,81,7,0,0
pricecatcher_pricecatcher_2023-09,data-catalogue,4466,361,42,0,0
pricecatcher_pricecatcher_2023-10,data-catalogue,6690,1108,5,0,0
pricecatcher_pricecatcher_2023-11,data-catalogue,1200,503,4,0,0
transportation_ridership_headline,data-catalogue,4977,643,73,51,24
